Restaurant,Location,Theme Park,Breakfast Price,Lunch/Dinner Price,Vegetarian Options,Type Of Service,Established
Oga's Cantina DLR,Star Wars: Galaxy's Edge,Disneyland Park,$$,$$,Yes,Bar/Lounge,2019
Ronto Roasters,Star Wars: Galaxy's Edge,Disneyland Park,$,$,Yes,Quick Service,2019
"Alien Pizza Planet - ""A Better Place""",Tomorrowland,Disneyland Park,,$$,Yes,Quick Service,2018
Galactic Grill,Tomorrowland,Disneyland Park,$,$$,Yes,Quick Service,2001
Cafe Daisy,Toontown,Disneyland Park,$,$,Yes,Quick Service,2023
Good Boy! Grocers,Toontown,Disneyland Park,$,$,Yes,Quick Service,2023
Arthur & Sons Steak and Bourbon,Downtown Disney,Downtown Disney,,$$$,No,Table Service,TBA
Ballast Point,Downtown Disney,Downtown Disney,,$$,Yes,Table Service,2019
Beignets Expressed,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2023
Black Tap Craft Burgers and Shakes,Downtown Disney,Downtown Disney,,$$,Yes,Quick Service,2019
Blue Ribbon Corn Dogs Disneyland,Downtown Disney,Downtown Disney,$,$,Yes,Kiosk,2024
Céntrico,Downtown Disney,Downtown Disney,,$$,Yes,Table Service,2024
Clyde's Hot Chicken,Downtown Disney,Downtown Disney,$,$,No,Quick Service,2019
Diggity Dogs,Downtown Disney,Downtown Disney,$,$,No,Snack Cart,2009
Din Tai Fung,Downtown Disney,Downtown Disney,,$$$,Yes,Table Service,2024
Earl of Sandwich,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2012
Earl of Sandwich Tavern Restaurant & Bar,Downtown Disney,Downtown Disney,,$$,Yes,Table Service,2012
GG's Chicken Shop,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Jamba,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2020
Jazz Kitchen Coastal Grill & Patio,Downtown Disney,Downtown Disney,,$$$,Yes,Table Service,2023
Kayla's Cake,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Naples,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,2019
NapoliniUpdated,Downtown Disney,Downtown Disney,,$,Yes,Quick Service,2019
Paseo,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,2024
Pearl’s Roadside BBQ,Downtown Disney,Downtown Disney,$$,$$,Yes,Quick Service,TBA
Salt & Straw DLRUpdated,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2018
Seoul Sister,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Sip & Sonder,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2025
Splitsville Luxury Lanes,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,2018
Starbucks Downtown Disney,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2014
Starbucks West Downtown Disney,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2014
The Carnaby Tavern,Downtown Disney,Downtown Disney,$$,$$,Yes,Table Service,TBA
The Funnel Cakery,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2014
Tiendita,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2024
Tortilla Jo's,Downtown Disney,Downtown Disney,,$$,Yes,Table Service,2004
Vista Parkside Market,Downtown Disney,Downtown Disney,$$,$$,Yes,Bar/Lounge,2025
Wetzel's Pretzels,Downtown Disney,Downtown Disney,$,$,Yes,Quick Service,2018
Disneyland Hotel In-Room Dining,Disneyland Hotel,Hotels,,$$,Yes,Room Service,1955
Goofy's KitchenUpdated,Disneyland Hotel,Hotels,$$,$$,Yes,Buffet,1992
Steakhouse 55,Disneyland Hotel,Hotels,$$$,$$$,Yes,Table Service,2006
Tangaroa Terrace Tropical Bar & Grill,Disneyland Hotel,Hotels,$,$,Yes,Quick Service,2019
The Coffee House,Disneyland Hotel,Hotels,$,$,Yes,Quick Service,1955
The Lounge,Disneyland Hotel,Hotels,,$,Yes,Bar/Lounge,2025
Trader Sam's Enchanted Tiki Bar,Disneyland Hotel,Hotels,$,$,Yes,Table Service,2011
Great Maple,Disney's Pixar Place Hotel,Hotels,$$,$$,Yes,Table Service,2023
Sketch Pad Café,Disney's Pixar Place Hotel,Hotels,$,$,Yes,Quick Service,2024
Small Bytes,Disney's Pixar Place Hotel,Hotels,$,$,Yes,Bar/Lounge,2024
GCH Craftsman Bar,Grand Californian,Hotels,$$,$$,Yes,Bar/Lounge,2019
GCH Craftsman GrillUpdated,Grand Californian,Hotels,$$,$$,Yes,Table Service,2019
Grand Californian In-Room Dining,Grand Californian,Hotels,$,$,Yes,Room Service,2021
Hearthstone Lounge,Grand Californian,Hotels,$$,$$,Yes,Table Service,2019
Napa Rose,Grand Californian,Hotels,,$$$,Yes,Table Service,2001
Napa Rose Lounge,Grand Californian,Hotels,,$$$,Yes,Bar/Lounge,2001
Storyteller's Cafe,Grand Californian,Hotels,$$,$$,Yes,Buffet,2001
Paradise Pier In-Room Dining,Paradise Pier Hotel,Hotels,$,$,Yes,Room Service,1984
PCH Grill,Paradise Pier Hotel,Hotels,,$$,Yes,Buffet,2001
Surfside Lounge,Paradise Pier Hotel,Hotels,$$,$$,Yes,Bar/Lounge,2000
Palm Breeze Bar,Villas at the Disneyland Hotel,Hotels,$$,$$,Yes,Bar/Lounge,2023
